,Username,Last Name,First Name,Chamber,Party,State,District,Date Assumed Office,Gender,,,,,,
60,martinheinrich,Heinrich,Martin,Senate,Democratic,New Mexico,None,"January 3, 2013",M,,,,,,
61,SenatorLujan,Luján,Ben Ray,Senate,Democratic,New Mexico,None,"January 3, 2021",M,,,,,,
62,gillibrandny,Gillibrand,Kirsten,Senate,Democratic,New York,None,"January 26, 2009",F,,,,,,
63,SenSchumer,Schumer,Chuck,Senate,Democratic,New York,None,"January 3, 1999",M,,,,,,
64,SenatorBurr,Burr,Richard,Senate,Republican,North Carolina,None,"January 3, 2005",M,,,,,,
65,SenThomTillis,Tillis,Thom,Senate,Republican,North Carolina,None,"January 3, 2015",M,,,,,,
66,SenKevinCramer,Cramer,Kevin,Senate,Republican,North Dakota,None,"January 3, 2019",M,,,,,,
67,SenJohnHoeven,Hoeven,John,Senate,Republican,North Dakota,None,"January 3, 2011",M,,,,,,
68,SenSherrodBrown,Brown,Sherrod,Senate,Democratic,Ohio,None,"January 3, 2007",M,,,,,,
69,senrobportman,Portman,Rob,Senate,Republican,Ohio,None,"January 3, 2011",M,,,,,,
70,JimInhofe,Inhofe,Jim,Senate,Republican,Oklahoma,None,"November 17, 1994",M,,,,,,
71,SenatorLankford,Lankford,James,Senate,Republican,Oklahoma,None,"January 3, 2015",M,,,,,,
72,SenJeffMerkley,Merkley,Jeff,Senate,Democratic,Oregon,None,"January 3, 2009",M,,,,,,
73,RonWyden,Wyden,Ron,Senate,Democratic,Oregon,None,"January 30, 1996",M,,,,,,
74,SenBobCasey,Casey,Bob,Senate,Democratic,Pennsylvania,None,"January 3, 2007",M,,,,,,
75,sentoomey,Toomey,Pat,Senate,Republican,Pennsylvania,None,"January 3, 2011",M,,,,,,
76,senjackreed,Reed,Jack,Senate,Democratic,Rhode Island,None,"January 3, 1997",M,,,,,,
77,SenWhitehouse,Whitehouse,Sheldon,Senate,Democratic,Rhode Island,None,"January 3, 2007",M,,,,,,
78,LindseyGrahamSC,Graham,Lindsey,Senate,Republican,South Carolina,None,"January 3, 2003",M,,,,,,
79,SenatorTimScott,Scott,Tim,Senate,Republican,South Carolina,None,"January 2, 2013",M,,,,,,
80,senatorrounds,Rounds,Mike,Senate,Republican,South Dakota,None,"January 3, 2015",M,,,,,,
81,senjohnthune,Thune,John,Senate,Republican,South Dakota,None,"January 3, 2005",M,,,,,,
82,MarshaBlackburn,Blackburn,Marsha,Senate,Republican,Tennessee,None,"January 3, 2019",F,,,,,,
83,SenatorHagerty,Hagerty,Bill,Senate,Republican,Tennessee,None,"January 3, 2021",M,,,,,,
84,JohnCornyn,Cornyn,John,Senate,Republican,Texas,None,"December 2, 2002",M,,,,,,
85,SenTedCruz,Cruz,Ted,Senate,Republican,Texas,None,"January 3, 2013",M,,,,,,
86,SenMikeLee,Lee,Mike,Senate,Republican,Utah,None,"January 3, 2011",M,,,,,,
87,SenatorRomney,Romney,Mitt,Senate,Republican,Utah,None,"January 3, 2019",M,,,,,,
88,SenatorLeahy,Leahy,Patrick,Senate,Democratic,Vermont,None,"January 3, 1975",M,,,,,,
89,SenSanders,Sanders,Bernie,Senate,Independent,Vermont,None,"January 3, 2007",M,,,,,,
90,TimKaine,Kaine,Tim,Senate,Democratic,Virginia,None,"January 3, 2013",M,,,,,,
91,MarkWarner,Warner,Mark,Senate,Democratic,Virginia,None,"January 3, 2009",M,,,,,,
92,SenatorCantwell,Cantwell,Maria,Senate,Democratic,Washington,None,"January 3, 2001",F,,,,,,
93,pattymurray,Murray,Patty,Senate,Democratic,Washington,None,"January 3, 1993",F,,,,,,
94,SenCapito,Capito,Shelley Moore,Senate,Republican,West Virginia,None,"January 3, 2015",F,,,,,,
95,Sen_JoeManchin,Manchin,Joe,Senate,Democratic,West Virginia,None,"November 15, 2010",M,,,,,,
96,SenatorBaldwin,Baldwin,Tammy,Senate,Democratic,Wisconsin,None,"January 3, 2013",F,,,,,,
97,SenRonJohnson,Johnson,Ron,Senate,Republican,Wisconsin,None,"January 3, 2011",M,,,,,,
98,senjohnbarrasso,Barrasso,John,Senate,Republican,Wyoming,None,"June 25, 2007",M,,,,,,
99,SenLummis,Lummis,Cynthia,Senate,Republican,Wyoming,None,"January 3, 2021",F,,,,,,
100,RepJerryCarl,Carl,Jerry,House,Republican,Alabama,1,"January 3, 2021",M,,,,,,
101,RepBarryMoore,Moore,Barry,House,Republican,Alabama,2,"January 3, 2021",M,,,,,,
102,RepMikeRogersAL,Rogers,Mike,House,Republican,Alabama,3,"January 3, 2003",M,,,,,,
103,Robert_Aderholt,Aderholt,Robert,House,Republican,Alabama,4,"January 3, 1997",M,,,,,,
104,RepMoBrooks,Brooks,Mo,House,Republican,Alabama,5,"January 3, 2011",M,,,,,,
105,USRepGaryPalmer,Palmer,Gary,House,Republican,Alabama,6,"January 3, 2015",M,,,,,,
106,RepTerriSewell,Sewell,Terri,House,Democratic,Alabama,7,"January 3, 2011",F,,,,,,
107,repohalleran,O'Halleran,Tom,House,Democratic,Arizona,1,"January 3, 2017",M,,,,,,
108,RepKirkpatrick,Kirkpatrick,Ann,House,Democratic,Arizona,2,"January 3, 2019",F,,,,,,
109,repraulgrijalva,Grijalva,Raul,House,Democratic,Arizona,3,"January 3, 2013",M,,,,,,
110,RepGosar,Gosar,Paul,House,Republican,Arizona,4,"January 3, 2013",M,,,,,,
111,RepAndyBiggsAZ,Biggs,Andy,House,Republican,Arizona,5,"January 3, 2017",M,,,,,,
112,RepDavid,Schweikert,David,House,Republican,Arizona,6,"January 3, 2013",M,,,,,,
113,RepRubenGallego,Gallego,Ruben,House,Democratic,Arizona,7,"January 3, 2015",M,,,,,,
114,RepDLesko,Lesko,Debbie,House,Republican,Arizona,8,"May 7, 2018",F,,,,,,
115,repgregstanton,Stanton,Greg,House,Democratic,Arizona,9,"January 3, 2019",M,,,,,,
116,RepRickCrawford,Crawford,Rick,House,Republican,Arkansas,1,"January 3, 2011",M,,,,,,
117,RepFrenchHill,Hill,French,House,Republican,Arkansas,2,"January 3, 2015",M,,,,,,
118,rep_stevewomack,Womack,Steve,House,Republican,Arkansas,3,"January 3, 2011",M,,,,,,
119,RepWesterman,Westerman,Bruce,House,Republican,Arkansas,4,"January 3, 2015",M,,,,,,
120,RepLaMalfa,LaMalfa,Doug,House,Republican,California,1,"January 3, 2013",M,,,,,,
121,RepHuffman,Huffman,Jared,House,Democratic,California,2,"January 3, 2013",M,,,,,,
122,RepGaramendi,Garamendi,John,House,Democratic,California,3,"January 3, 2013",M,,,,,,
123,RepMcClintock,McClintock,Tom,House,Republican,California,4,"January 3, 2009",M,,,,,,
124,RepThompson,Thompson,Mike,House,Democratic,California,5,"January 3, 2013",M,,,,,,
125,DorisMatsui,Matsui,Doris,House,Democratic,California,6,"January 3, 2013",F,,,,,,
126,RepBera,Bera,Ami,House,Democratic,California,7,"January 3, 2013",M,,,,,,
127,JayObernolte,Obernolte,Jay,House,Republican,California,8,"January 3, 2021",M,,,,,,
128,RepMcNerney,McNerney,Jerry,House,Democratic,California,9,"January 3, 2013",M,,,,,,
129,RepJoshHarder,Harder,Josh,House,Democratic,California,10,"January 3, 2019",M,,,,,,
130,RepDeSaulnier,DeSaulnier,Mark,House,Democratic,California,11,"January 3, 2015",M,,,,,,
131,SpeakerPelosi,Pelosi,Nancy,House,Democratic,California,12,"January 3, 2013",F,,,,,,
132,RepBarbaraLee,Lee,Barbara,House,Democratic,California,13,"January 3, 2013",F,,,,,,
133,RepSpeier,Speier,Jackie,House,Democratic,California,14,"January 3, 2013",F,,,,,,
134,RepSwalwell,Swalwell,Eric,House,Democratic,California,15,"January 3, 2013",M,,,,,,
135,RepJimCosta,Costa,Jim,House,Democratic,California,16,"January 3, 2013",M,,,,,,
136,RepRoKhanna,Khanna,Ro,House,Democratic,California,17,"January 3, 2017",M,,,,,,
137,RepAnnaEshoo,Eshoo,Anna,House,Democratic,California,18,"January 3, 2013",F,,,,,,
138,RepZoeLofgren,Lofgren,Zoe,House,Democratic,California,19,"January 3, 2013",F,,,,,,
139,RepJimmyPanetta,Panetta,Jimmy,House,Democratic,California,20,"January 3, 2017",M,,,,,,
140,RepDavidValadao,Valadao,David,House,Republican,California,21,"January 3, 2021",M,,,,,,
141,GOPLeader,McCarthy,Kevin,House,Republican,California,23,"January 3, 2013",M,,,,,,
142,RepCarbajal,Carbajal,Salud,House,Democratic,California,24,"January 3, 2017",M,,,,,,
143,RepMikeGarcia,Garcia,Mike,House,Republican,California,25,"May 19, 2020",M,,,,,,
144,RepBrownley,Brownley,Julia,House,Democratic,California,26,"January 3, 2013",F,,,,,,
145,RepJudyChu,Chu,Judy,House,Democratic,California,27,"January 3, 2013",F,,,,,,
146,RepAdamSchiff,Schiff,Adam,House,Democratic,California,28,"January 3, 2013",M,,,,,,
147,RepCardenas,Cárdenas,Tony,House,Democratic,California,29,"January 3, 2013",M,,,,,,
148,BradSherman,Sherman,Brad,House,Democratic,California,30,"January 3, 2013",M,,,,,,
149,RepPeteAguilar,Aguilar,Pete,House,Democratic,California,31,"January 3, 2015",M,,,,,,
150,gracenapolitano,Napolitano,Grace,House,Democratic,California,32,"January 3, 2013",F,,,,,,
151,RepTedLieu,Lieu,Ted,House,Democratic,California,33,"January 3, 2015",M,,,,,,
152,RepJimmyGomez,Gomez,Jimmy,House,Democratic,California,34,"July 11, 2017",M,,,,,,
153,NormaJTorres,Torres,Norma,House,Democratic,California,35,"January 3, 2015",F,,,,,,
154,RepRaulRuizMD,Ruiz,Raul,House,Democratic,California,36,"January 3, 2013",M,,,,,,
155,RepKarenBass,Bass,Karen,House,Democratic,California,37,"January 3, 2013",F,,,,,,
156,RepLindaSanchez,Sánchez,Linda,House,Democratic,California,38,"January 3, 2013",F,,,,,,
157,RepYoungKim,Kim,Young,House,Republican,California,39,"January 3, 2021",F,,,,,,
158,RepRoybalAllard,RoybalAllard,Lucille,House,Democratic,California,40,"January 3, 2013",F,,,,,,
159,RepMarkTakano,Takano,Mark,House,Democratic,California,41,"January 3, 2013",M,,,,,,
160,KenCalvert,Calvert,Ken,House,Republican,California,42,"January 3, 2013",M,,,,,,
161,RepMaxineWaters,Waters,Maxine,House,Democratic,California,43,"January 3, 2013",F,,,,,,
162,RepBarragan,Barragán,Nanette,House,Democratic,California,44,"January 3, 2017",F,,,,,,
163,RepKatiePorter,Porter,Katie,House,Democratic,California,45,"January 3, 2019",F,,,,,,
164,RepLouCorrea,Correa,Lou,House,Democratic,California,46,"January 3, 2017",M,,,,,,
165,RepLowenthal,Lowenthal,Alan,House,Democratic,California,47,"January 3, 2013",M,,,,,,
166,RepSteel,Steel,Michelle,House,Republican,California,48,"January 3, 2021",F,,,,,,
167,RepMikeLevin,Levin,Mike,House,Democratic,California,49,"January 3, 2019",M,,,,,,
168,repdarrellissa,Issa,Darrell,House,Republican,California,50,"January 3, 2021",M,,,,,,
169,RepJuanVargas,Vargas,Juan,House,Democratic,California,51,"January 3, 2013",M,,,,,,
170,RepScottPeters,Peters,Scott,House,Democratic,California,52,"January 3, 2013",M,,,,,,
171,RepSaraJacobs,Jacobs,Sara,House,Democratic,California,53,"January 3, 2021",F,,,,,,
172,RepDianaDeGette,DeGette,Diana,House,Democratic,Colorado,1,"January 3, 1997",F,,,,,,
173,RepJoeNeguse,Neguse,Joe,House,Democratic,Colorado,2,"January 3, 2019",M,,,,,,
174,RepBoebert,Boebert,Lauren,House,Republican,Colorado,3,"January 3, 2021",F,,,,,,
175,RepKenBuck,Buck,Ken,House,Republican,Colorado,4,"January 3, 2015",M,,,,,,
176,RepDLamborn,Lamborn,Doug,House,Republican,Colorado,5,"January 3, 2007",M,,,,,,
177,RepJasonCrow,Crow,Jason,House,Democratic,Colorado,6,"January 3, 2019",M,,,,,,
178,repperlmutter,Perlmutter,Ed,House,Democratic,Colorado,7,"January 3, 2007",M,,,,,,
179,RepJohnLarson,Larson,John,House,Democratic,Connecticut,1,"January 3, 1999",M,,,,,,
180,repjoecourtney,Courtney,Joe,House,Democratic,Connecticut,2,"January 3, 2007",M,,,,,,
181,rosadelauro,DeLauro,Rosa,House,Democratic,Connecticut,3,"January 3, 1991",F,,,,,,
