,Username,Last Name,First Name,Chamber,Party,State,District,Date Assumed Office,Gender,,,,,,
273,RepClayHiggins,Higgins,Clay,House,Republican,Louisiana,3,"January 3, 2017",M,,,,,,
274,RepMikeJohnson,Johnson,Mike,House,Republican,Louisiana,4,"January 3, 2017",M,,,,,,
275,repjulialetlow,Letlow,Julia,House,Republican,Louisiana,5,"April 14, 2021",F,,,,,,
276,RepGarretGraves,Graves,Garret,House,Republican,Louisiana,6,"January 3, 2015",M,,,,,,
277,chelliepingree,Pingree,Chellie,House,Democratic,Maine,1,"January 3, 2009",F,,,,,,
278,RepGolden,Golden,Jared,House,Democratic,Maine,2,"January 3, 2019",M,,,,,,
279,RepAndyHarrisMD,Harris,Andrew,House,Republican,Maryland,1,"January 3, 2011",M,,,,,,
280,Call_Me_Dutch,Ruppersberger,Dutch,House,Democratic,Maryland,2,"January 3, 2003",M,,,,,,
281,RepSarbanes,Sarbanes,John,House,Democratic,Maryland,3,"January 3, 2007",M,,,,,,
282,RepAnthonyBrown,Brown,Anthony,House,Democratic,Maryland,4,"January 3, 2017",M,,,,,,
283,LeaderHoyer,Hoyer,Steny,House,Democratic,Maryland,5,"May 19, 1981",M,,,,,,
284,repdavidtrone,Trone,David,House,Democratic,Maryland,6,"January 3, 2019",M,,,,,,
285,RepKweisiMfume,Mfume,Kweisi,House,Democratic,Maryland,7,"May 5, 2020",M,,,,,,
286,repraskin,Raskin,Jamie,House,Democratic,Maryland,8,"January 3, 2017",M,,,,,,
287,RepRichardNeal,Neal,Richard,House,Democratic,Massachusetts,1,"January 3, 2013",M,,,,,,
288,RepMcGovern,McGovern,Jim,House,Democratic,Massachusetts,2,"January 3, 2013",M,,,,,,
289,RepLoriTrahan,Trahan,Lori,House,Democratic,Massachusetts,3,"January 3, 2019",F,,,,,,
290,RepAuchincloss,Auchincloss,Jake,House,Democratic,Massachusetts,4,"January 3, 2021",M,,,,,,
291,RepKClark,Clark,Katherine,House,Democratic,Massachusetts,5,"December 12, 2013",F,,,,,,
292,SethMoulton,Moulton,Seth,House,Democratic,Massachusetts,6,"January 3, 2015",M,,,,,,
293,RepPressley,Pressley,Ayanna,House,Democratic,Massachusetts,7,"January 3, 2019",F,,,,,,
294,RepStephenLynch,Lynch,Stephen,House,Democratic,Massachusetts,8,"January 3, 2013",M,,,,,,
295,USRepKeating,Keating,Bill,House,Democratic,Massachusetts,9,"January 3, 2013",M,,,,,,
296,RepJackBergman,Bergman,Jack,House,Republican,Michigan,1,"January 3, 2017",M,,,,,,
297,RepHuizenga,Huizenga,Bill,House,Republican,Michigan,2,"January 3, 2011",M,,,,,,
298,RepMeijer,Meijer,Peter,House,Republican,Michigan,3,"January 3, 2021",M,,,,,,
299,RepMoolenaar,Moolenaar,John,House,Republican,Michigan,4,"January 3, 2015",M,,,,,,
300,RepDanKildee,Kildee,Dan,House,Democratic,Michigan,5,"January 3, 2013",M,,,,,,
301,RepFredUpton,Upton,Fred,House,Republican,Michigan,6,"January 3, 1993",M,,,,,,
302,RepWalberg,Walberg,Tim,House,Republican,Michigan,7,"January 3, 2011",M,,,,,,
303,RepSlotkin,Slotkin,Elissa,House,Democratic,Michigan,8,"January 3, 2019",F,,,,,,
304,repandylevin,Levin,Andy,House,Democratic,Michigan,9,"January 3, 2019",M,,,,,,
305,RepLisaMcClain,McClain,Lisa,House,Republican,Michigan,10,"January 3, 2021",F,,,,,,
306,RepHaleyStevens,Stevens,Haley,House,Democratic,Michigan,11,"January 3, 2019",F,,,,,,
307,RepDebDingell,Dingell,Debbie,House,Democratic,Michigan,12,"January 3, 2015",F,,,,,,
308,RepRashida,Tlaib,Rashida,House,Democratic,Michigan,13,"January 3, 2019",F,,,,,,
309,RepLawrence,Lawrence,Brenda,House,Democratic,Michigan,14,"January 3, 2015",F,,,,,,
310,RepAngieCraig,Craig,Angie,House,Democratic,Minnesota,2,"January 3, 2019",F,,,,,,
311,RepDeanPhillips,Phillips,Dean,House,Democratic,Minnesota,3,"January 3, 2019",M,,,,,,
312,BettyMcCollum04,McCollum,Betty,House,Democratic,Minnesota,4,"January 3, 2001",F,,,,,,
313,Ilhan,Omar,Ilhan,House,Democratic,Minnesota,5,"January 3, 2019",F,,,,,,
314,RepTomEmmer,Emmer,Tom,House,Republican,Minnesota,6,"January 3, 2015",M,,,,,,
315,RepFischbach,Fischbach,Michelle,House,Republican,Minnesota,7,"January 3, 2021",F,,,,,,
316,RepPeteStauber,Stauber,Pete,House,Republican,Minnesota,8,"January 3, 2019",M,,,,,,
317,reptrentkelly,Kelly,Trent,House,Republican,Mississippi,1,"June 9, 2015",M,,,,,,
318,BennieGThompson,Thompson,Bennie,House,Democratic,Mississippi,2,"April 20, 1993",M,,,,,,
319,RepMichaelGuest,Guest,Michael,House,Republican,Mississippi,3,"January 3, 2019",M,,,,,,
320,CongPalazzo,Palazzo,Steven,House,Republican,Mississippi,4,"January 3, 2011",M,,,,,,
321,RepCori,Bush,Cori,House,Democratic,Missouri,1,"January 3, 2021",F,,,,,,
322,RepAnnWagner,Wagner,Ann,House,Republican,Missouri,2,"January 3, 2013",F,,,,,,
323,RepBlaine,Luetkemeyer,Blaine,House,Republican,Missouri,3,"January 3, 2013",M,,,,,,
324,rephartzler,Hartzler,Vicky,House,Republican,Missouri,4,"January 3, 2011",F,,,,,,
325,repcleaver,Cleaver,Emanuel,House,Democratic,Missouri,5,"January 3, 2005",M,,,,,,
326,RepSamGraves,Graves,Sam,House,Republican,Missouri,6,"January 3, 2001",M,,,,,,
327,USRepLong,Long,Billy,House,Republican,Missouri,7,"January 3, 2011",M,,,,,,
328,RepJasonSmith,Smith,Jason,House,Republican,Missouri,8,"June 5, 2013",M,,,,,,
329,RepRosendale,Rosendale,Matt,House,Republican,Montana,1,"January 3, 2021",M,,,,,,
330,repdonbacon,Bacon,Don,House,Republican,Nebraska,2,"January 3, 2017",M,,,,,,
331,RepAdrianSmith,Smith,Adrian,House,Republican,Nebraska,3,"January 3, 2007",M,,,,,,
332,repdinatitus,Titus,Dina,House,Democratic,Nevada,1,"January 3, 2013",F,,,,,,
333,markamodeinv2,Amodei,Mark,House,Republican,Nevada,2,"January 3, 2011",M,,,,,,
334,RepSusieLee,Lee,Susie,House,Democratic,Nevada,3,"January 3, 2019",F,,,,,,
335,RepHorsford,Horsford,Steven,House,Democratic,Nevada,4,"January 3, 2019",M,,,,,,
336,RepChrisPappas,Pappas,Chris,House,Democratic,New Hampshire,1,"January 3, 2019",M,,,,,,
337,RepAnnieKuster,Kuster,Annie,House,Democratic,New Hampshire,2,"January 3, 2013",F,,,,,,
338,DonaldNorcross,Norcross,Donald,House,Democratic,New Jersey,1,"November 12, 2014",M,,,,,,
339,Congressman_JVD,VanDrew,Jeff,House,Republican,New Jersey,2,"January 3, 2019",M,,,,,,
340,RepAndyKimNJ,Kim,Andrew,House,Democratic,New Jersey,3,"January 3, 2019",M,,,,,,
341,,Smith,Chris,House,Republican,New Jersey,4,"January 3, 1981",M,,,,,,
342,RepJoshG,Gottheimer,Josh,House,Democratic,New Jersey,5,"January 3, 2017",M,,,,,,
343,frankpallone,Pallone,Frank,House,Democratic,New Jersey,6,"January 3, 1993",M,,,,,,
344,RepMalinowski,Malinowski,Tom,House,Democratic,New Jersey,7,"January 3, 2019",M,,,,,,
345,RepSires,Sires,Albio,House,Democratic,New Jersey,8,"January 3, 2013",M,,,,,,
346,BillPascrell,Pascrell,Bill,House,Democratic,New Jersey,9,"January 3, 2013",M,,,,,,
347,RepDonaldPayne,Payne,Donald,House,Democratic,New Jersey,10,"January 3, 2013",M,,,,,,
348,RepSherrill,Sherrill,Mikie,House,Democratic,New Jersey,11,"January 3, 2019",F,,,,,,
349,RepBonnie,Coleman,Bonnie Watson,House,Democratic,New Jersey,12,"January 3, 2015",F,,,,,,
350,Rep_Stansbury,Stansbury,Melanie Ann,House,Democratic,New Mexico,1,"June 14, 2021",F,,,,,,
351,RepHerrell,Herrell,Yvette,House,Republican,New Mexico,2,"January 3, 2021",F,,,,,,
352,RepTeresaLF,Fernandez,Teresa Leger,House,Democratic,New Mexico,3,"January 3, 2021",F,,,,,,
353,RepLeeZeldin,Zeldin,Lee,House,Republican,New York,1,"January 3, 2015",M,,,,,,
354,RepGarbarino,Garbarino,Andrew,House,Republican,New York,2,"January 3, 2021",M,,,,,,
355,RepTomSuozzi,Suozzi,Tom,House,Democratic,New York,3,"January 3, 2017",M,,,,,,
356,repkathleenrice,Rice,Kathleen,House,Democratic,New York,4,"January 3, 2015",F,,,,,,
357,repgregorymeeks,Meeks,Gregory,House,Democratic,New York,5,"January 3, 2013",M,,,,,,
358,RepGraceMeng,Meng,Grace,House,Democratic,New York,6,"January 3, 2013",F,,,,,,
359,NydiaVelazquez,Velazquez,Nydia,House,Democratic,New York,7,"January 3, 2013",F,,,,,,
360,RepJeffries,Jeffries,Hakeem,House,Democratic,New York,8,"January 3, 2013",M,,,,,,
361,RepYvetteClarke,Clarke,Yvette,House,Democratic,New York,9,"January 3, 2013",F,,,,,,
362,RepJerryNadler,Nadler,Jerrold,House,Democratic,New York,10,"January 3, 2013",M,,,,,,
363,RepMalliotakis,Malliotakis,Nicole,House,Republican,New York,11,"January 3, 2021",F,,,,,,
364,RepMaloney,Maloney,Carolyn,House,Democratic,New York,12,"January 3, 2013",F,,,,,,
365,RepEspaillat,Espaillat,Adriano,House,Democratic,New York,13,"January 3, 2017",M,,,,,,
366,RepAOC,OcasioCortez,Alexandria,House,Democratic,New York,14,"January 3, 2019",F,,,,,,
367,RepRitchie,Torres,Ritchie,House,Democratic,New York,15,"January 3, 2021",M,,,,,,
368,RepBowman,Bowman,Jamaal,House,Democratic,New York,16,"January 3, 2021",M,,,,,,
369,RepMondaire,Jones,Mondaire,House,Democratic,New York,17,"January 3, 2021",M,,,,,,
370,repseanmaloney,Maloney,Sean,House,Democratic,New York,18,"January 3, 2013",M,,,,,,
371,reppaultonko,Tonko,Paul,House,Democratic,New York,20,"January 3, 2013",M,,,,,,
372,RepStefanik,Stefanik,Elise,House,Republican,New York,21,"January 3, 2015",F,,,,,,
373,RepTenney,Tenney,Claudia,House,Republican,New York,22,"January 3, 2021",F,,,,,,
374,RepJohnKatko,Katko,John,House,Republican,New York,24,"January 3, 2015",M,,,,,,
375,repjoemorelle,Morelle,Joseph,House,Democratic,New York,25,"November 13, 2018",M,,,,,,
376,repbrianhiggins,Higgins,Brian,House,Democratic,New York,26,"January 3, 2013",M,,,,,,
377,RepJacobs,Jacobs,Christopher,House,Republican,New York,27,"July 21, 2020",M,,,,,,
378,GKButterfield,Butterfield,G.K.,House,Democratic,North Carolina,1,"July 20, 2004",M,,,,,,
379,RepDeborahRoss,Ross,Deborah,House,Democratic,North Carolina,2,"January 3, 2021",F,,,,,,
380,RepGregMurphy,Murphy,Gregory,House,Republican,North Carolina,3,"September 17, 2019",M,,,,,,
381,RepDavidEPrice,Price,David,House,Democratic,North Carolina,4,"January 3, 1997",M,,,,,,
382,virginiafoxx,Foxx,Virginia,House,Republican,North Carolina,5,"January 3, 2005",F,,,,,,
383,RepKManning,Manning,Kathy,House,Democratic,North Carolina,6,"January 3, 2021",F,,,,,,
384,RepDavidRouzer,Rouzer,David,House,Republican,North Carolina,7,"January 3, 2015",M,,,,,,
385,RepRichHudson,Hudson,Richard,House,Republican,North Carolina,8,"January 3, 2013",M,,,,,,
386,RepDanBishop,Bishop,Dan,House,Republican,North Carolina,9,"September 17, 2019",M,,,,,,
387,PatrickMcHenry,McHenry,Patrick,House,Republican,North Carolina,10,"January 3, 2005",M,,,,,,
388,RepCawthorn,Cawthorn,Madison,House,Republican,North Carolina,11,"January 3, 2021",M,,,,,,
389,RepAdams,Adams,Alma,House,Democratic,North Carolina,12,"November 12, 2014",F,,,,,,
390,RepTedBudd,Budd,Ted,House,Republican,North Carolina,13,"January 3, 2017",M,,,,,,
391,RepArmstrongND,Armstrong,Kelly,House,Republican,North Dakota,1,"January 3, 2019",F,,,,,,
392,repstevechabot,Chabot,Steve,House,Republican,Ohio,1,"January 3, 2011",M,,,,,,
393,RepBradWenstrup,Wenstrup,Brad,House,Republican,Ohio,2,"January 3, 2013",M,,,,,,
394,RepBeatty,Beatty,Joyce,House,Democratic,Ohio,3,"January 3, 2013",F,,,,,,
395,Jim_Jordan,Jordan,Jim,House,Republican,Ohio,4,"January 3, 2007",M,,,,,,
396,boblatta,Latta,Bob,House,Republican,Ohio,5,"January 3, 2007",M,,,,,,
397,RepBillJohnson,Johnson,Bill,House,Republican,Ohio,6,"January 3, 2011",M,,,,,,
398,repbobgibbs,Gibbs,Bob,House,Republican,Ohio,7,"January 3, 2013",M,,,,,,
399,warrendavidson,Davidson,Warren,House,Republican,Ohio,8,"June 9, 2016",M,,,,,,
400,RepMarcyKaptur,Kaptur,Marcy,House,Democratic,Ohio,9,"January 3, 1983",F,,,,,,
401,RepMikeTurner,Turner,Michael,House,Republican,Ohio,10,"January 3, 2013",M,,,,,,
402,RepShontelBrown,Brown,Shontel,House,Democratic,Ohio,11,"November 4, 2021",F,,,,,,
403,RepBalderson,Balderson,Troy,House,Republican,Ohio,12,"September 5, 2018",M,,,,,,
404,RepTimRyan,Ryan,Tim,House,Democratic,Ohio,13,"January 3, 2013",M,,,,,,
405,RepDaveJoyce,Joyce,David,House,Republican,Ohio,14,"January 3, 2013",M,,,,,,
406,MikeCareyOH15,Carey,Mike,House,Republican,Ohio,15,"November 4, 2021",M,,,,,,
407,RepAGonzalez,Gonzalez,Anthony,House,Republican,Ohio,16,"January 3, 2019",M,,,,,,
408,repkevinhern,Hern,Kevin,House,Republican,Oklahoma,1,"November 13, 2018",M,,,,,,
409,RepMullin,Mullin,Markwayne,House,Republican,Oklahoma,2,"January 3, 2013",M,,,,,,
410,RepFrankLucas,Lucas,Frank,House,Republican,Oklahoma,3,"January 3, 2003",M,,,,,,
411,TomColeOK04,Cole,Tom,House,Republican,Oklahoma,4,"January 3, 2003",M,,,,,,
412,RepBice,Bice,Stephanie,House,Republican,Oklahoma,5,"January 3, 2021",F,,,,,,
413,repbonamici,Bonamici,Suzanne,House,Democratic,Oregon,1,"February 7, 2012",F,,,,,,
414,RepBentz,Bentz,Cliff,House,Republican,Oregon,2,"January 3, 2021",M,,,,,,
415,repblumenauer,Blumenauer,Earl,House,Democratic,Oregon,3,"May 21, 1996",M,,,,,,
416,RepPeterDeFazio,DeFazio,Peter,House,Democratic,Oregon,4,"January 3, 1987",M,,,,,,
417,repschrader,Schrader,Kurt,House,Democratic,Oregon,5,"January 3, 2009",M,,,,,,
418,RepBrianFitz,Fitzpatrick,Brian,House,Republican,Pennsylvania,1,"January 3, 2019",M,,,,,,
419,CongBoyle,Boyle,Brendan,House,Democratic,Pennsylvania,2,"January 3, 2019",M,,,,,,
420,RepDwightEvans,Evans,Dwight,House,Democratic,Pennsylvania,3,"January 3, 2019",M,,,,,,
421,RepDean,Dean,Madeleine,House,Democratic,Pennsylvania,4,"January 3, 2019",F,,,,,,
422,repmgs,Scanlon,Mary Gay,House,Democratic,Pennsylvania,5,"January 3, 2019",F,,,,,,
423,rephoulahan,Houlahan,Chrissy,House,Democratic,Pennsylvania,6,"January 3, 2019",F,,,,,,
424,RepSusanWild,Wild,Susan,House,Democratic,Pennsylvania,7,"January 3, 2019",F,,,,,,
425,RepCartwright,Cartwright,Matt,House,Democratic,Pennsylvania,8,"January 3, 2019",M,,,,,,
426,RepMeuser,Meuser,Dan,House,Republican,Pennsylvania,9,"January 3, 2019",M,,,,,,
427,RepScottPerry,Perry,Scott,House,Republican,Pennsylvania,10,"January 3, 2019",M,,,,,,
428,RepSmucker,Smucker,Lloyd,House,Republican,Pennsylvania,11,"January 3, 2019",M,,,,,,
429,RepFredKeller,Keller,Fred,House,Republican,Pennsylvania,12,"June 3, 2019",M,,,,,,
430,RepJohnJoyce,Joyce,John,House,Republican,Pennsylvania,13,"January 3, 2019",M,,,,,,
431,GReschenthaler,Reschenthaler,Guy,House,Republican,Pennsylvania,14,"January 3, 2019",M,,,,,,
432,CongressmanGT,Thompson,Glenn,House,Republican,Pennsylvania,15,"January 3, 2019",M,,,,,,
433,MikeKellyPA,Kelly,Mike,House,Republican,Pennsylvania,16,"January 3, 2019",M,,,,,,
434,RepConorLamb,Lamb,Conor,House,Democratic,Pennsylvania,17,"January 3, 2019",M,,,,,,
435,USRepMikeDoyle,Doyle,Michael,House,Democratic,Pennsylvania,18,"January 3, 2019",M,,,,,,
436,RepCicilline,Cicilline,David,House,Democratic,Rhode Island,1,"January 3, 2011",M,,,,,,
437,JimLangevin,Langevin,Jim,House,Democratic,Rhode Island,2,"January 3, 2001",M,,,,,,
438,RepNancyMace,Mace,Nancy,House,Republican,South Carolina,1,"January 3, 2021",F,,,,,,
439,RepJoeWilson,Wilson,Joe,House,Republican,South Carolina,2,"January 3, 2001",M,,,,,,
440,RepJeffDuncan,Duncan,Jeff,House,Republican,South Carolina,3,"January 3, 2011",M,,,,,,
441,RepTimmons,Timmons,William,House,Republican,South Carolina,4,"January 3, 2019",M,,,,,,
442,RepRalphNorman,Norman,Ralph,House,Republican,South Carolina,5,"June 26, 2017",M,,,,,,
443,WhipClyburn,Clyburn,James,House,Democratic,South Carolina,6,"January 3, 1993",M,,,,,,
444,RepTomRice,Rice,Tom,House,Republican,South Carolina,7,"January 3, 2013",M,,,,,,
445,RepDustyJohnson,Johnson,Dusty,House,Republican,South Dakota,1,"January 3, 2019",M,,,,,,
446,RepHarshbarger,Harshbarger,Diana,House,Republican,Tennessee,1,"January 3, 2021",F,,,,,,
447,RepTimBurchett,Burchett,Tim,House,Republican,Tennessee,2,"January 3, 2019",M,,,,,,
448,RepChuck,Fleischmann,Charles,House,Republican,Tennessee,3,"January 3, 2011",M,,,,,,
449,DesJarlaisTN04,DesJarlais,Scott,House,Republican,Tennessee,4,"January 3, 2011",M,,,,,,
450,repjimcooper,Cooper,Jim,House,Democratic,Tennessee,5,"January 3, 2003",M,,,,,,
451,repjohnrose,Rose,John,House,Republican,Tennessee,6,"January 3, 2019",M,,,,,,
452,RepMarkGreen,Green,Mark,House,Republican,Tennessee,7,"January 3, 2019",M,,,,,,
453,RepDavidKustoff,Kustoff,David,House,Republican,Tennessee,8,"January 3, 2017",M,,,,,,
454,RepCohen,Cohen,Steve,House,Democratic,Tennessee,9,"January 3, 2007",M,,,,,,
455,replouiegohmert,Gohmert,Louie,House,Republican,Texas,1,"January 3, 2005",M,,,,,,
456,RepDanCrenshaw,Crenshaw,Daniel,House,Republican,Texas,2,"January 3, 2019",M,,,,,,
457,RepVanTaylor,Taylor,Van,House,Republican,Texas,3,"January 3, 2019",M,,,,,,
458,RepPatFallon,Fallon,Pat,House,Republican,Texas,4,"January 3, 2021",M,,,,,,
459,Lancegooden,Gooden,Lance,House,Republican,Texas,5,"January 3, 2019",M,,,,,,
460,RepEllzey,Ellzey,Jake,House,Republican,Texas,6,"July 30, 2021",M,,,,,,
461,RepFletcher,Fletcher,Lizzie Pannill,House,Democratic,Texas,7,"January 3, 2019",F,,,,,,
462,RepKevinBrady,Brady,Kevin,House,Republican,Texas,8,"January 3, 1997",M,,,,,,
463,RepAlGreen,Green,Al,House,Democratic,Texas,9,"January 3, 2005",M,,,,,,
464,RepMcCaul,McCaul,Michael,House,Republican,Texas,10,"January 3, 2005",M,,,,,,
465,RepPfluger,Pfluger,August,House,Republican,Texas,11,"January 3, 2021",M,,,,,,
466,RepKayGranger,Granger,Kay,House,Republican,Texas,12,"January 3, 1997",F,,,,,,
467,RepRonnyJackson,Jackson,Ronny,House,Republican,Texas,13,"January 3, 2021",M,,,,,,
468,TXRandy14,Weber,Randy,House,Republican,Texas,14,"January 3, 2013",M,,,,,,
469,RepGonzalez,Gonzalez,Vicente,House,Democratic,Texas,15,"January 3, 2017",M,,,,,,
470,RepEscobar,Escobar,Veronica,House,Democratic,Texas,16,"January 3, 2019",F,,,,,,
471,PeteSessions,Sessions,Pete,House,Republican,Texas,17,"January 3, 2021",M,,,,,,
472,JacksonLeeTX18,JacksonLee,Sheila,House,Democratic,Texas,18,"January 3, 1995",F,,,,,,
473,RepArrington,Arrington,Jodey,House,Republican,Texas,19,"January 3, 2017",M,,,,,,
474,JoaquinCastrotx,Castro,Joaquin,House,Democratic,Texas,20,"January 3, 2013",M,,,,,,
475,RepChipRoy,Roy,Chip,House,Republican,Texas,21,"January 3, 2019",M,,,,,,
476,RepTroyNehls,Nehls,Troy,House,Republican,Texas,22,"January 3, 2021",M,,,,,,
477,RepTonyGonzales,Gonzales,Tony,House,Republican,Texas,23,"January 3, 2021",M,,,,,,
478,RepBethVanDuyne,VanDuyne,Beth,House,Republican,Texas,24,"January 3, 2021",F,,,,,,
479,RepRWilliams,Williams,Roger,House,Republican,Texas,25,"January 3, 2013",M,,,,,,
480,michaelcburgess,Burgess,Michael,House,Republican,Texas,26,"January 3, 2003",M,,,,,,
481,RepCloudTX,Cloud,Michael,House,Republican,Texas,27,"July 10, 2018",M,,,,,,
482,RepCuellar,Cuellar,Henry,House,Democratic,Texas,28,"January 3, 2005",M,,,,,,
483,RepSylviaGarcia,Garcia,Sylvia,House,Democratic,Texas,29,"January 3, 2019",F,,,,,,
484,RepEBJ,Johnson,Eddie Bernice,House,Democratic,Texas,30,"January 3, 1993",F,,,,,,
485,JudgeCarter,Carter,John,House,Republican,Texas,31,"January 3, 2003",M,,,,,,
486,RepColinAllred,Allred,Colin,House,Democratic,Texas,32,"January 3, 2019",M,,,,,,
487,RepVeasey,Veasey,Marc,House,Democratic,Texas,33,"January 3, 2013",M,,,,,,
488,RepLloydDoggett,Doggett,Lloyd,House,Democratic,Texas,35,"January 3, 2013",M,,,,,,
489,RepBrianBabin,Babin,Brian,House,Republican,Texas,36,"January 3, 2015",M,,,,,,
490,RepBlakeMoore,Moore,Blake,House,Republican,Utah,1,"January 3, 2021",M,,,,,,
491,repchrisstewart,Stewart,Chris,House,Republican,Utah,2,"January 3, 2013",M,,,,,,
492,RepJohnCurtis,Curtis,John,House,Republican,Utah,3,"November 13, 2017",M,,,,,,
493,RepBurgessOwens,Owens,Burgess,House,Republican,Utah,4,"January 3, 2021",M,,,,,,
494,PeterWelch,Welch,Peter,House,Democratic,Vermont,1,"January 3, 2007",M,,,,,,
495,RobWittman,Wittman,Rob,House,Republican,Virginia,1,"January 3, 2007",M,,,,,,
496,RepElaineLuria,Luria,Elaine,House,Democratic,Virginia,2,"January 3, 2019",F,,,,,,
497,BobbyScott,Scott,Bobby,House,Democratic,Virginia,3,"January 3, 1993",M,,,,,,
498,RepMcEachin,McEachin,Donald,House,Democratic,Virginia,4,"January 3, 2017",M,,,,,,
499,RepBobGood,Good,Bob,House,Republican,Virginia,5,"January 3, 2021",M,,,,,,
500,RepBenCline,Cline,Ben,House,Republican,Virginia,6,"January 3, 2019",M,,,,,,
501,RepSpanberger,Spanberger,Abigail,House,Democratic,Virginia,7,"January 3, 2019",F,,,,,,
502,RepDonBeyer,Beyer,Don,House,Democratic,Virginia,8,"January 3, 2015",M,,,,,,
503,RepMGriffith,Griffith,Morgan,House,Republican,Virginia,9,"January 3, 2011",M,,,,,,
504,RepWexton,Wexton,Jennifer,House,Democratic,Virginia,10,"January 3, 2019",F,,,,,,
505,GerryConnolly,Connolly,Gerald,House,Democratic,Virginia,11,"January 3, 2009",M,,,,,,
506,RepDelBene,DelBene,Suzan,House,Democratic,Washington,1,"November 13, 2012",F,,,,,,
507,RepRickLarsen,Larsen,Rick,House,Democratic,Washington,2,"January 3, 2001",M,,,,,,
508,herrerabeutler,HerreraBeutler,Jaime,House,Republican,Washington,3,"January 3, 2011",F,,,,,,
509,repnewhouse,Newhouse,Dan,House,Republican,Washington,4,"January 3, 2015",M,,,,,,
510,cathymcmorris,McMorris,Cathy,House,Republican,Washington,5,"January 3, 2005",F,,,,,,
511,RepDerekKilmer,Kilmer,Derek,House,Democratic,Washington,6,"January 3, 2013",M,,,,,,
512,RepJayapal,Jayapal,Pramila,House,Democratic,Washington,7,"January 3, 2017",F,,,,,,
513,repkimschrier,Schrier,Kim,House,Democratic,Washington,8,"January 3, 2019",F,,,,,,
514,RepAdamSmith,Smith,Adam,House,Democratic,Washington,9,"January 3, 1997",M,,,,,,
515,RepStricklandWA,Strickland,Marilyn,House,Democratic,Washington,10,"January 3, 2021",F,,,,,,
516,RepMcKinley,McKinley,David,House,Republican,West Virginia,1,"January 3, 2011",M,,,,,,
517,RepAlexMooney,Mooney,Alexander,House,Republican,West Virginia,2,"January 3, 2015",M,,,,,,
518,RepCarolMiller,Miller,Carol,House,Republican,West Virginia,3,"January 3, 2019",F,,,,,,
519,RepBryanSteil,Steil,Bryan,House,Republican,Wisconsin,1,"January 3, 2019",M,,,,,,
520,repmarkpocan,Pocan,Mark,House,Democratic,Wisconsin,2,"January 3, 2013",M,,,,,,
521,RepRonKind,Kind,Ron,House,Democratic,Wisconsin,3,"January 3, 1997",M,,,,,,
522,RepGwenMoore,Moore,Gwen,House,Democratic,Wisconsin,4,"January 3, 2005",F,,,,,,
523,RepFitzgerald,Fitzgerald,Scott,House,Republican,Wisconsin,5,"January 3, 2021",M,,,,,,
524,RepGrothman,Grothman,Glenn,House,Republican,Wisconsin,6,"January 3, 2015",M,,,,,,
525,RepTiffany,Tiffany,Tom,House,Republican,Wisconsin,7,"May 19, 2020",M,,,,,,
526,RepGallagher,Gallagher,Michael,House,Republican,Wisconsin,8,"January 3, 2017",M,,,,,,
527,RepLizCheney,Cheney,Liz,House,Republican,Wyoming,1,"January 3, 2017",F,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
